trial_id,cohort_num,trial_num,course,supervisor_id,operator_id,peer_id,team_config
1,1,1,forward,,1A,,O
2,1,2,reverse,1C,,,S
3,1,3,forward,,1B,1C,OP
4,1,4,reverse,1A,,1B,SP
5,1,5,forward,1A,1C,,SO
6,1,6,reverse,1B,1A,1C,SOP
7,1,7,forward,1C,1B,1A,SOP
8,1,8,reverse,1C,1B,,SO
9,1,9,forward,1B,,1C,SP
10,1,10,reverse,,1C,1A,OP
11,1,11,forward,1A,,,S
12,1,12,reverse,,1B,,O
13,2,1,forward,2C,,,S
14,2,2,reverse,,2B,2C,OP
15,2,3,forward,2A,,2B,SP
16,2,4,reverse,2A,2C,,SO
17,2,5,forward,2B,2A,2C,SOP
18,2,6,reverse,,2A,,O
19,2,7,forward,,2B,,O
20,2,8,reverse,2C,2B,2A,SOP
21,2,9,forward,2C,2B,,SO
22,2,10,reverse,2B,,2C,SP
23,2,11,forward,,2C,2A,OP
24,2,12,reverse,2A,,,S
25,3,1,forward,,3B,3C,OP
26,3,2,reverse,3A,,3B,SP
27,3,3,forward,3A,3C,,SO
28,3,4,reverse,3B,3A,3C,SOP
29,3,5,forward,,3A,,O
30,3,6,reverse,3C,,,S
31,3,7,forward,3A,,,S
32,3,8,reverse,,3B,,O
33,3,9,forward,3C,3B,3A,SOP
34,3,10,reverse,3C,3B,,SO
35,3,11,forward,3B,,3C,SP
36,3,12,reverse,,3C,3A,OP
37,4,1,forward,4A,,4B,SP
38,4,2,reverse,4A,4C,,SO
39,4,3,forward,4B,4A,4C,SOP
40,4,4,reverse,,4A,,O
41,4,5,forward,4C,,,S
42,4,6,reverse,,4B,4C,OP
43,4,7,forward,,4C,4A,OP
44,4,8,reverse,4A,,,S
45,4,9,forward,,4B,,O
46,4,10,reverse,4C,4B,4A,SOP
47,4,11,forward,4C,4B,,SO
48,4,12,reverse,4B,,4C,SP
49,5,1,forward,5A,5C,,SO
50,5,2,reverse,5B,5A,5C,SOP
51,5,3,forward,,5A,,O
52,5,4,reverse,5C,,,S
53,5,5,forward,,5B,5C,OP
54,5,6,reverse,5A,,5B,SP
55,5,7,forward,5B,,5C,SP
56,5,8,reverse,,5C,5A,OP
57,5,9,forward,5A,,,S
58,5,10,reverse,,5B,,O
59,5,11,forward,5C,5B,5A,SOP
60,5,12,reverse,5C,5B,,SO
61,6,1,forward,6B,6A,6C,SOP
62,6,2,reverse,,6A,,O
63,6,3,forward,6C,,,S
64,6,4,reverse,,6B,6C,OP
65,6,5,forward,6A,,6B,SP
66,6,6,reverse,6A,6C,,SO
67,6,7,forward,6C,6B,,SO
68,6,8,reverse,6B,,6C,SP
69,6,9,forward,,6C,6A,OP
70,6,10,reverse,6A,,,S
71,6,11,forward,,6B,,O
72,6,12,reverse,6C,6B,6A,SOP
